gen
SETBP1
THBS4
COLEC12
PLAGL1
COL3A1
ADAMTS1
CHN1
PRRX1
SCARF2
HAS2
PRKG1
DCN
NID2
FHL1
MYO1B
TMTC1
CXCL12
HTRA1
RUNX1T1
EPB41L2
ZFHX4
COL6A2
FHL1
ITGB1
SEC23A
RUFY3
SMOC2
PDGFD
GFPT2
IGFBP7
TNXB
TNXB
COL18A1
RBMS3
LOXL1
CFH
PHLDB1
MIR99AHG
COL1A1
IGFBP6
FAM13A
EGFLAM
CCDC80
NR2F1
ISLR
FAP
PDGFRA
DCLK1
RGS22
LAMB1
LRP1
TWIST2
FMOD
GJC1
RNF217
HIC1
GUCY1A2
PI16
PLEKHG1
LAMA4
GAS1
GNG11
CXCL12
CRYBG3
FHL1
SGIP1
ROBO1
SSC5D
LIFR
C1S
DCHS1
PEAR1
SECISBP2L
SPON1
GAS7
CRY1
ELN
POSTN
NBEA
COL14A1
BNC2
ADGRA2
PTGIS
MXRA5
STEAP2
COL3A1
IGF1
PDGFRA
TSHZ3
ACKR3
MAP7D3
SRPX2
BACE1
SRPX2
RAI14
MEG3
MFAP4
ROBO1
PLAC9
SURF4
RUNX1T1
C3
ABL1
PDE5A
NFATC4
EBF1
DST
TIMP3
LILRA1
PTPN13
LOX
MAP4K4
PLSCR4
COL6A3
PCDH7
CLMP
PTN
CLSTN3
METTL7A
CFD
GULP1
MEIS2
HGF
ACO1
HIC1
BAZ2B
MYO1B
SOCS2
FBLN5
FBN1
GEM
KLF9
CDH11
MRC2
LIMA1
SH3D19
NFATC4
LOXL1
COL1A2
AGO3
MIR503HG
JAM3
EVA1B
GREM1
CD63
BICC1
ROR2
SGCD
TNN
GLT8D2
CD248
PHLDB1
GREM1
PCDH18
OAF
NT5E
SGIP1
ANGPTL4
SRPX2
SMOC2
MXRA7
ZNF608
LOX
COLEC12
SETBP1
PTPN21
ECM2
SETBP1
IGF1
BNC2
CLIC2
VCAN
WBP4
OLFML3
ISLR
CTSO
DNM3OS
ZCCHC24
ADAMTS5
SFRP2
BGN
ADD3
SEMA5A
TMCC3
DDR2
SFRP4
CTSK
DCN
NOTCH2
ENPP2
FSTL1
NEGR1
ANTXR2
DLC1
SBF2
PHLDB2
CAMK2N1
LTBP2
HAS1
LSAMP
PLPP3
ETV1
UACA
PTGDS
ADAMTS5
PAPLN
RSPO3
TSPAN4
NR2F1
ST5
WBP1L
EPAS1
GPX3
COL12A1
TBRG1
NCKAP5L
P3H3
COL4A2
FN1
COL11A1
ITGB1
APBB2
THBS2
TEAD1
TNC
ARHGAP28
FRMD6
NAV1
TNS1
FBXL7
ADAMTS6
A2M
TCF4
AKAP12
LRRC17
PCOLCE
MMP2
ZNF697
IGFBP6
TCF4
VCL
STOM
ZBTB20
EGFLAM
FAM20C
SERPING1
ROR2
TNS2
EPB41L2
CHN1
EDNRA
MXRA8
CLSTN3
PCSK5
CD34
MIR503HG
HEG1
MEG3
PTPN13
AGPAT4
ADAM12
TGFBR2
MAP1B
SPTBN1
HMCN1
